Min_tot,Poblacion,area_m2,Densidad_ha
12.3,1393,205834.6,136.3
25.35,911,113482.1,80.6
7.15,1505,234492.6,128.2
9.57,1967,255080.9,154.3
22.98,1282,130081.9,98.6
23.73,2657,299798.5,179.5
24.23,1556,171552.8,90.5
18.97,1256,150535.6,83.2
19.92,1370,163787.4,83.5
16.03,1155,208261.6,55.5
19.43,1813,259142.8,140
26.62,2968,282811.4,323.5
27.67,2780,254107.5,225.3
21.6,2076,260879.1,159
19.87,1080,159233.4,67.9
15.48,1485,169407.9,87.9
33.25,1357,197811.1,68.5
16.3,862,122985.5,70.1
6.93,1032,246507.4,41.8
5.7,772,276075.4,28
8.32,2278,264128.7,259
5.27,936,92871.8,100.6
17.63,1214,177466.6,68.6
18.47,608,189887.7,32
11.83,953,199899.5,47.6
3.18,1445,216938.7,66.6
19.2,1101,181406.4,60.8
10.27,1547,186332.2,83.2
14.8,399,97573.9,40.7
3.75,1845,252160.4,145.9
5.37,1032,132226.1,78.2
9.95,1766,277524.3,127.9
10.05,930,160388.6,58.1
6.02,843,106720.3,78.8
13.15,744,115384.1,64.7
11.92,794,122309.4,65.1
9,1259,166972.6,75.4
23.68,1140,194985.5,58.5
10.03,1109,200862.2,55.2
15.67,916,246276.2,37.2
15.88,1493,237046.5,63
8,583,96340,60.7
9.22,1990,281047.7,147.5
13.65,675,123871.8,54.4
7.68,1117,192602.4,57.9
20.43,906,405975,22.3
15.6,2409,293731.5,248.2
6.77,1994,219713.9,181.5
12.55,737,122519.6,59.9
9.1,973,147111,66.2
21.03,808,93454.6,86.9
17.87,953,100573.7,94.4
17.68,1657,1108502.1,14.9
16.08,1309,247792.4,109.7
7.83,581,105391,55.3
5.35,688,168857.1,40.7
11.92,862,195871.9,44
12.58,672,92720.8,72.3
16.68,1619,243135.6,135.3
12.93,796,78105.7,102.1
5.53,943,241652.5,39
10,672,66804.7,100.3
8.58,2228,259728,175.5
15.72,1225,158646.8,77
3.32,1419,173496.9,82
2.63,460,56884.5,80.7
5.72,1821,269544.6,134.9
1.47,1373,149541,182.2
3.63,1722,190534,180.2
5.68,1529,249178.1,126
10.98,1737,233849.7,148.2
7.35,2149,298582.7,145.2
10.72,1705,233678.3,150
10.1,1853,219561.1,172.1
3,2219,298013.1,148.3
13.9,1134,205216.9,55.3
12.82,938,119457.2,158.8
6.72,1309,211161,126.8
8.98,901,122965.3,73.3
9.88,1284,131578,220.9
3.07,1256,175940.2,140.7
3.23,788,107776.7,73
14.5,1758,267962.1,131.6
6.82,867,133677.7,64.7
10.8,652,63911.6,101.9
16.17,1626,195669.5,168.8
18.33,1547,160777.9,202.1
14.1,913,316940.9,28.8
21.42,2746,254394.5,323.3
11.88,1609,244471.7,133
16.25,1849,221663.6,169.3
14.68,1647,242487.2,145.6
27.87,623,97046,64.2
7.93,1896,267918.1,140
22.42,1233,155504.3,79
21.32,898,174173.6,51.6
13.82,1338,178989.7,74.7
18.42,1431,139982.3,102.2
12.03,1395,152129.7,91.8
15.58,1598,153027.6,104.4
20,1104,172875.9,63.8
29.1,1168,1132517.3,10.3
26.35,1783,226705,156.5
27.33,998,111723.7,89.1
18.52,2107,277988.3,151.7
27.13,1883,225214.2,83.7
25.92,1327,296990.5,44.7
22.4,1647,387812,42.4
49.92,854,935756.3,9.1
27.67,2263,210412.2,216
21.97,1225,175225.5,70
28.18,1112,184674.8,60.1
26.82,1896,197989.4,95.8
28.22,1384,261007.2,106.1
24.25,1067,164578.7,64.7
27.4,921,312282.7,29.5
36.5,740,312365.1,23.7
32.5,1226,619218.8,19.8
